seq_ID	ID	mRNA	ORF_strand	ORF_frame	ORF_start	ORF_end	ORF	Fickett	Hexamer	Coding_prob
MSTRG.48::CHR1:14404-24901	MSTRG.48::CHR1:14404-24901_ORF_3	10497	+	3	3816	4199	384	0.9949	0.193016685714336	0.620797955593875
MSTRG.48::CHR1:16853-29360	MSTRG.48::CHR1:16853-29360_ORF_2	12507	+	2	1367	1750	384	0.9949	0.193016685714336	0.594530326893896
MSTRG.64::CHR1:184924-199942	MSTRG.64::CHR1:184924-199942_ORF_1	15018	+	1	1180	1917	738	0.5909	0.0118455389938666	0.847286846163643
MSTRG.68::CHR1:621190-632692	MSTRG.68::CHR1:621190-632692_ORF_1	11502	+	2	10883	11425	543	1.1447	-0.216948423546517	0.561018922798224
MSTRG.70::CHR1:629275-630078	MSTRG.70::CHR1:629275-630078_ORF_1	803	+	1	613	801	189	1.1974	-0.114611676433882	0.0890025538914686
MSTRG.76::CHR1:633845-634489	MSTRG.76::CHR1:633845-634489_ORF_1	644	+	1	361	531	171	1.149	-0.0467464038777611	0.0933369057643616
MSTRG.86::CHR1:827698-859332	MSTRG.86::CHR1:827698-859332_ORF_1	31634	+	1	10036	10470	435	0.8252	-0.0113733210032245	0.127779821394696
MSTRG.91::CHR1:940368-944153	MSTRG.91::CHR1:940368-944153_ORF_1	3785	+	2	3284	3784	501	1.0456	0.0711195759669364	0.832716692788785
MSTRG.92::CHR1:944203-959256	MSTRG.92::CHR1:944203-959256_ORF_1	15053	+	2	6224	6934	711	0.6009	0.0112532663016489	0.808511238526602
MSTRG.92::CHR1:944210-959256	MSTRG.92::CHR1:944210-959256_ORF_1	15046	+	1	6217	6927	711	0.6009	0.0112532663016489	0.808570654652444
MSTRG.92::CHR1:944212-959256	MSTRG.92::CHR1:944212-959256_ORF_1	15044	+	2	6215	6925	711	0.6009	0.0112532663016489	0.808587628103671
MSTRG.92::CHR1:944213-959279	MSTRG.92::CHR1:944213-959279_ORF_1	15066	+	1	6214	6924	711	0.6009	0.0112532663016489	0.808400856956199
MSTRG.102::CHR1:1020130-1056003	MSTRG.102::CHR1:1020130-1056003_ORF_1	35873	+	3	13026	14291	1266	0.6449	0.154650902970998	0.999463478732769
MSTRG.102::CHR1:1020230-1055990	MSTRG.102::CHR1:1020230-1055990_ORF_1	35760	+	2	12926	14191	1266	0.6449	0.154650902970998	0.999466790939122
MSTRG.107::CHR1:1216933-1232001	MSTRG.107::CHR1:1216933-1232001_ORF_2	15068	+	2	1298	2158	861	1.1849	0.173237849409766	0.997792818888385
MSTRG.107::CHR1:1218522-1228976	MSTRG.107::CHR1:1218522-1228976_ORF_1	10454	+	1	5089	5973	885	0.5728	-0.0352435314791797	0.963037680007536
MSTRG.109::CHR1:1255263-1273471	MSTRG.109::CHR1:1255263-1273471_ORF_1	18208	+	1	12412	13386	975	0.6539	0.0834854454407974	0.992170379659078
MSTRG.109::CHR1:1255267-1273471	MSTRG.109::CHR1:1255267-1273471_ORF_1	18204	+	3	12408	13382	975	0.6539	0.0834854454407974	0.992172083262253
MSTRG.111::CHR1:1279581-1280198	MSTRG.111::CHR1:1279581-1280198_ORF_1	617	+	2	254	409	156	0.6465	-0.0740214733259462	0.0128991922009889
MSTRG.113::CHR1:1292419-1307830	MSTRG.113::CHR1:1292419-1307830_ORF_1	15411	+	1	4012	5412	1401	0.6549	0.0739752606111206	0.999939153171798
MSTRG.116::CHR1:1313545-1324629	MSTRG.116::CHR1:1313545-1324629_ORF_1	11084	+	1	1240	1794	555	0.7357	0.0695295327505136	0.675026107567387
MSTRG.119::CHR1:1337022-1349112	MSTRG.119::CHR1:1337022-1349112_ORF_1	12090	+	1	4333	5298	966	0.6987	0.0929411264078377	0.994976344578482
MSTRG.120::CHR1:1351408-1355415	MSTRG.120::CHR1:1351408-1355415_ORF_3	4007	+	2	3062	3457	396	1.0179	0.195110094469146	0.74555298333621
MSTRG.123::CHR1:1386494-1399325	MSTRG.123::CHR1:1386494-1399325_ORF_4	12831	+	3	12387	12725	339	1.1179	0.234777245088282	0.631562326566763
MSTRG.123::CHR1:1386712-1398287	MSTRG.123::CHR1:1386712-1398287_ORF_1	11575	+	1	4549	4968	420	0.8554	0.0172605568501615	0.329416109627411
MSTRG.123::CHR1:1386712-1399317	MSTRG.123::CHR1:1386712-1399317_ORF_4	12605	+	1	12169	12507	339	1.1179	0.234777245088282	0.634441077225854
MSTRG.124::CHR1:1399561-1402033	MSTRG.124::CHR1:1399561-1402033_ORF_2	2472	+	3	234	443	210	0.8662	0.13325620604783	0.139431933368506
MSTRG.128::CHR1:1449913-1534685	MSTRG.128::CHR1:1449913-1534685_ORF_1	84772	+	1	29371	30513	1143	0.7232	-0.0429949202830047	0.927109659346693
MSTRG.128::CHR1:1450710-1534584	MSTRG.128::CHR1:1450710-1534584_ORF_1	83874	+	2	28574	29716	1143	0.7232	-0.0429949202830047	0.930367885791074
MSTRG.128::CHR1:1450711-1534584	MSTRG.128::CHR1:1450711-1534584_ORF_1	83873	+	1	28573	29715	1143	0.7232	-0.0429949202830047	0.930371437868405
MSTRG.128::CHR1:1450714-1534685	MSTRG.128::CHR1:1450714-1534685_ORF_1	83971	+	1	28570	29712	1143	0.7232	-0.0429949202830047	0.930022536479442
MSTRG.128::CHR1:1454415-1534142	MSTRG.128::CHR1:1454415-1534142_ORF_1	79727	+	2	24869	26011	1143	0.7232	-0.0429949202830047	0.943733236403658
MSTRG.128::CHR1:1454415-1534685	MSTRG.128::CHR1:1454415-1534685_ORF_1	80270	+	2	24869	26011	1143	0.7232	-0.0429949202830047	0.942131198572307
MSTRG.128::CHR1:1455861-1534682	MSTRG.128::CHR1:1455861-1534682_ORF_1	78821	+	2	23423	24565	1143	0.7232	-0.0429949202830047	0.946313719626639
MSTRG.128::CHR1:1455876-1534685	MSTRG.128::CHR1:1455876-1534685_ORF_1	78809	+	2	23408	24550	1143	0.7232	-0.0429949202830047	0.946347137632585
MSTRG.128::CHR1:1471910-1534685	MSTRG.128::CHR1:1471910-1534685_ORF_1	62775	+	3	7374	8516	1143	0.7232	-0.0429949202830047	0.977005547619054
MSTRG.128::CHR1:1477302-1534682	MSTRG.128::CHR1:1477302-1534682_ORF_1	57380	+	2	1982	3124	1143	0.7232	-0.0429949202830047	0.982792523919033
MSTRG.128::CHR1:1477306-1534584	MSTRG.128::CHR1:1477306-1534584_ORF_1	57278	+	1	1978	3120	1143	0.7232	-0.0429949202830047	0.982886850772147
MSTRG.128::CHR1:1486109-1534584	MSTRG.128::CHR1:1486109-1534584_ORF_2	48475	+	2	32330	33304	975	0.654	-0.0165029389755086	0.929300269819838
MSTRG.128::CHR1:1490540-1534685	MSTRG.128::CHR1:1490540-1534685_ORF_2	44145	+	2	27899	28873	975	0.654	-0.0165029389755086	0.943396165801819
MSTRG.135::CHR1:1626859-1630603	MSTRG.135::CHR1:1626859-1630603_ORF_1	3744	+	2	2177	2593	417	1.0518	0.0890009191007033	0.689408966411362
